Mode of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,1,001,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),15,1005,1034,4.8,5.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),688,1336,1388,6.0,6.3
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),70,1553,1604,9.0,9.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),248,1411,1466,6.3,6.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),265,1260,1314,5.1,5.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),101,1152,1196,5.0,5.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),669,1337,1388,6.0,6.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),69,1549,1572,8.9,8.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),229,1420,1474,6.4,6.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),267,1261,1323,5.0,5.3
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),99,1135,1181,4.7,5.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),706,1293,1343,5.8,6.1
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),73,1590,1677,9.4,9.8
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),276,1367,1423,6.2,6.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),250,1190,1226,4.3,4.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,10,010,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),102,1116,1146,4.9,5.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,103,103,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),522,1574,1617,9.4,9.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,103,103,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),28,1249,1285,7.7,7.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,103,103,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),161,1643,1697,10.4,10.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,103,103,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),187,1718,1752,10.6,10.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,103,103,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),139,1391,1437,7.1,7.2
