Mode of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,1,1,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),85,1659,1763,6.7,6.9
Personal,Visitors,Trip Start,1,1,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),1,1986,1986,9.4,9.4
Personal,Visitors,Trip Start,1,1,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),8,1622,1813,6.7,7.5
Personal,Visitors,Trip Start,1,1,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),33,1588,1667,6.6,6.8
Personal,Visitors,Trip Start,1,1,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),27,1766,1864,6.8,7.0
Personal,Visitors,Trip Start,1,1,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),16,1631,1754,6.5,6.7
Personal,Visitors,Trip Start,1,1,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),94,1656,1750,7.0,7.2
Personal,Visitors,Trip Start,1,1,no,N/A,no,1: Weekday (M-F),1: Early AM (12am-6am),0,2122,2122,16.3,16.3
Personal,Visitors,Trip Start,1,1,no,N/A,no,1: Weekday (M-F),2: Peak AM (6am-10am),11,1610,1808,6.8,7.6
Personal,Visitors,Trip Start,1,1,no,N/A,no,1: Weekday (M-F),3: Mid-Day (10am-3pm),39,1547,1616,6.4,6.5
Personal,Visitors,Trip Start,1,1,no,N/A,no,1: Weekday (M-F),4: Peak PM (3pm-7pm),27,1820,1905,7.8,7.8
Personal,Visitors,Trip Start,1,1,no,N/A,no,1: Weekday (M-F),5: Late PM (7pm-12am),17,1666,1767,7.1,7.3
Personal,Visitors,Trip Start,1,1,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),62,1674,1811,5.5,5.9
Personal,Visitors,Trip Start,1,1,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),2,1905,1905,5.3,5.3
Personal,Visitors,Trip Start,1,1,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),1,1982,1982,4.6,4.6
